id,title,segment,function,sub_function,seniority_level,level_rank,decision_power,budget_authority,signing_threshold_usd,veto_power,proximity_to_power,reports_to_typical,scope,influence_note,send_priority,pitch_angle,cta
11,"Vice President, Corporate Communications - India",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",India,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
12,"Vice President, Corporate Communications - Japan",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Japan,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
13,"Vice President, Corporate Communications - Latin America",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Latin America,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
14,"Vice President, Corporate Communications - North America",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",North America,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
15,"Vice President, Crisis Communications",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Global,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
16,"Vice President, Employee Communications",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Global,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
17,"Vice President, Executive Communications",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Global,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
18,"Vice President, Internal Communications",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Global,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
19,"Vice President, Internal Communications - APAC",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",APAC,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
20,"Vice President, Internal Communications - EMEA",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",EMEA,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
21,"Vice President, Internal Communications - Greater China",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Greater China,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
22,"Vice President, Internal Communications - India",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",India,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
23,"Vice President, Internal Communications - Japan",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Japan,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
24,"Vice President, Internal Communications - Latin America",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Latin America,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
25,"Vice President, Internal Communications - North America",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",North America,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
26,"Vice President, Media Relations",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Global,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
27,"Vice President, Media Relations - APAC",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",APAC,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
28,"Vice President, Media Relations - EMEA",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",EMEA,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
29,"Vice President, Media Relations - Greater China",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Greater China,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
30,"Vice President, Media Relations - India",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",India,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
31,"Vice President, Media Relations - Japan",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Japan,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
32,"Vice President, Media Relations - Latin America",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Latin America,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
33,"Vice President, Media Relations - North America",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",North America,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
34,"Vice President, Reputation Management",A2_Budget_Holder,Communications,Corporate Communications,Vice President,10,Budget Holder,Divisional,$250K-$5M,No,Is Decision Maker,"Senior Vice President, Communications",Global,Owns the budget line and can fund without escalating.,1,"Cost or risk their division owns, quantified. Name the number.",15 minutes next week?
35,"Senior Director, Corporate Communications",A3_Approver,Communications,Corporate Communications,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
36,"Senior Director, Crisis Communications",A3_Approver,Communications,Corporate Communications,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
37,"Senior Director, Employee Communications",A3_Approver,Communications,Corporate Communications,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
38,"Senior Director, Executive Communications",A3_Approver,Communications,Corporate Communications,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
39,"Senior Director, Internal Communications",A3_Approver,Communications,Corporate Communications,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
40,"Senior Director, Media Relations",A3_Approver,Communications,Corporate Communications,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
41,"Senior Director, Reputation Management",A3_Approver,Communications,Corporate Communications,Senior Director,9,Approver,Departmental,$250K-$5M,No,Is Decision Maker,"Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
42,"APAC Director, Corporate Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
43,"APAC Director, Internal Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
44,"APAC Director, Media Relations",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
45,Corporate Communications Director,A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
46,Crisis Communications Director,A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
47,"Deputy Director, Corporate Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
48,"Deputy Director, Crisis Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
49,"Deputy Director, Employee Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
50,"Deputy Director, Executive Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
51,"Deputy Director, Internal Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
52,"Deputy Director, Media Relations",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
53,"Deputy Director, Reputation Management",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
54,"Director, Corporate Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
55,"Director, Corporate Communications - APAC",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
56,"Director, Corporate Communications - EMEA",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
57,"Director, Corporate Communications - Greater China",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
58,"Director, Corporate Communications - India",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
59,"Director, Corporate Communications - Japan",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
60,"Director, Corporate Communications - Latin America",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
61,"Director, Corporate Communications - North America",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",North America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
62,"Director, Crisis Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
63,"Director, Crisis Communications - APAC",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
64,"Director, Crisis Communications - EMEA",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
65,"Director, Crisis Communications - Greater China",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
66,"Director, Crisis Communications - India",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
67,"Director, Crisis Communications - Japan",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
68,"Director, Crisis Communications - Latin America",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
69,"Director, Crisis Communications - North America",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",North America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
70,"Director, Employee Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
71,"Director, Executive Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
72,"Director, Executive Communications - APAC",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
73,"Director, Executive Communications - EMEA",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
74,"Director, Executive Communications - Greater China",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
75,"Director, Executive Communications - India",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
76,"Director, Executive Communications - Japan",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
77,"Director, Executive Communications - Latin America",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
78,"Director, Executive Communications - North America",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",North America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
79,"Director, Internal Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
80,"Director, Internal Communications - APAC",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
81,"Director, Internal Communications - EMEA",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
82,"Director, Internal Communications - Greater China",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
83,"Director, Internal Communications - India",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
84,"Director, Internal Communications - Japan",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
85,"Director, Internal Communications - Latin America",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
86,"Director, Internal Communications - North America",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",North America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
87,"Director, Media Relations",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
88,"Director, Media Relations - APAC",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",APAC,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
89,"Director, Media Relations - EMEA",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
90,"Director, Media Relations - Greater China",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Greater China,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
91,"Director, Media Relations - India",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",India,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
92,"Director, Media Relations - Japan",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Japan,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
93,"Director, Media Relations - Latin America",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Latin America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
94,"Director, Media Relations - North America",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",North America,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
95,"Director, Reputation Management",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
96,"EMEA Director, Corporate Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
97,"EMEA Director, Internal Communications",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
98,"EMEA Director, Media Relations",A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",EMEA,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
99,Employee Communications Director,A3_Approver,Communications,Corporate Communications,Director,8,Approver,Departmental,$25K-$250K,No,Is Decision Maker,"Senior Director / Vice President, Communications",Function,Approves inside a departmental threshold; escalates above it.,1,"One specific problem they personally own, concrete before and after.",Short demo?
